,hv201,improved
piped water,10,
piped into dwelling,11,1
piped to yard/plot,12,1
public tap/standpipe,13,1
tube well water,20,
tube well or borehole,21,1
dug well (open/protected),30,
protected well,31,1
unprotected well,32,0
surface water,40,
protected spring,41,1
unprotected spring,42,0
river/dam/lake/ponds/stream/canal/irrigation channel,43,0
rainwater,51,1
tanker truck,61,0
cart with small tank,62,0
bottled water,71,
other,96,0
