"lat","lon"
-1.96296,30.0720806
-1.6707425,29.2624045
-1.9439,30.0594
-1.9798915,30.11528492
-1.9472411,30.0916169
-1.9501,30.05877
-1.91849681,30.09711338
-1.91877949,30.09355106
-1.9501,30.05877
-2.60951519,29.73681355
-1.9548387,30.1139536
-1.9402315,30.0607817
-1.9176981,30.0912882
-1.9439,30.0594
-1.9439,30.0594
-2.4921436,28.88341043
-1.94388333,30.05945
-1.95,30.06
-2.4893616,29.4782935
-1.931423,30.0905503
-1.9597672,30.08599
-2.60806274,29.73649788
-2.61519527,29.74265957
-1.9501,30.05877
-1.95,30.06
-1.9361217,30.0533117
-1.9439,30.0594
-1.9470651,30.0640895
-1.922643,30.093669
-1.991181,30.0463012
-1.9501,30.05877
-1.93112025,30.05987479
-1.9512942,30.0788012
-1.95137427,30.09219586
-1.9501,30.05877
-1.9501,30.05877
-1.9713193,30.0965191
-1.9624978,30.0609266
-1.9442,30.0587807
-1.9501,30.05877
-1.96070805,30.10757232
-1.9439,30.0594
-1.42803033,29.55511588
-1.94892667,30.43798333
-1.9726132,30.098534
-1.9501,30.05877
-1.95,30.06
-1.944248,30.0898168
-1.94981,30.11404
-1.9869579,30.1138877
-1.9501,30.05877
-1.95,30.06
-1.9458527,30.1215782
-2.61082268,29.73587513
-1.94669,30.05924
-1.96118044,30.12050961
-2.2667,30.2667
-1.9321749,30.0911907
-1.95626993,30.06283541
-1.48333333,29.53333333
-1.48333333,29.53333333
-1.95,30.06
-1.86180142,30.42646361
-1.97943805,30.0474143
-1.5667,29.5333
-1.6936214,29.2630476
-2.60863686,29.73248196
-1.9563041,30.0629253
-1.9783575,30.0439106
-1.9702826,30.12511907
-1.95126845,30.12488995
-1.9174616,30.091521
-2.0050835,30.0709415
-1.95,30.06667
-1.9176971,30.0912877
-1.9439,30.0594
-1.9501,30.05877
-1.9726221,30.0985423
-1.9459918,30.1287793
-1.9509734,30.0778974
-1.94337125,30.0575519
-1.9552131,30.1128894
-1.9469,30.0619
-1.9501,30.05877
-2.05515737,29.67897457
-1.9439,30.0594
-1.977194,30.201399
-1.9439,30.0594
-1.9501,30.05877
-2,30
-1.58309266,30.47936891
